CleanText,Sentiment,Score,TextLength,WordCount
"organix organic adult dog food by castor & pollux 12.7 oz. i purchased seven (7) varieties of the organix organic dog food from my local whole foods market for $2.79-2.99 plus $2.31 tax = $37.79--12-12.7 oz cans.there are two types of organix organic dog food grain-free, and those that have grain products such as flaxseed meal.my two shihtzus darby and hampshire prefer turkey and chicken over beef and lamb so i purchased the following formulas: chicken & vegetable; turkey, carrot & potato; chicken & organic brown rice; turkey & vegetable, chicken & brown rice; turkey vegetable; turkey & vegetable (grain-free); and chicken & vegetable (grain-free).darby and hampshire's typical diet is roast chicken with brown rice and mix vegetables.their snacks normally consist of non-nitrate hot dogs, pan fried chicken livers, butter fried sweet potatoes or mashed sweet potatoes, turkey meatballs, cheese wedges, bullies, merrick sesame sticks, 2-tbs of haagen-daz vanilla or butter pecan ice cream, and the occasional non-nitrate cold cut.after tropical storm debbie swept through central florida, i knew i needed to find a nonperishable dog food to stock for the hurricane season in preparation for power outages.i had searched for years for a high quality nontoxic and reasonably priced dog food that darby and hampshire would actually eat. the organix organic dog food was a hit. when they see the cans they stand up and take notice.when i opened the can, i could clearly see the difference in quality, and i could certainly smell the difference. a can of organix organic dog food is 95% organic, and made is the usa!a typical can contains 7.5% crude protein, 6% crude fat, 1% crude fiber, and 78% moisture. the feeding recommendations are 3/4 to 1 1/4 per 15 lbs. body weight per day. the dog food also contains several vitamins (vitamin e, a, b12, & d3)and minerals.several of the varities contain organic garlic and thiamine mononitrate which is a synthetic form of vitamin b1.i am so very pleased with this find. after 4 years, and many bad purchases i've finally found the right food for darby and hampshire. what an awesome dog food. it really smells and looks like human grade food.i also purchased the organix dry dog food but hampshire and darby both had a week of uncontrollable diareau, and darby was also vomiting. i returned the organix dry food to the store, and they gave me a full refund.the organix dry dog food made their feces very dark and running and the stains were more difficult than normal to remove. darby is 4.6 years and hampshire is 3.11 years.",positive,5,2574,430
"well know but far from the best. i've kept a bottle of tabasco in my kitchen for more decades than i care to admit. i've used it in bloody marys and added a few drops to many dishes i wanted to ""kick up"" a notch.i'm embarrassed to say i never experimented with any other brand of hot sauce until recently. huge mistake!after a bit of taste testing i have to say tabasco is one of the worse hot sauces available. cayenne pepper and a lot vinegar are tabasco's major flavor notes. you can do much better! you won't miss all that bitter vinegar!i could provide a long list of hot sauces that are much better. here are just a few and i choose them because they are all widely distributed (sold here on amazon and in your supermarket): huy fong sriracha hot chili sauce, cholula hot sauce, and tapatio salsa picante hot sauce are all far superior. there are many othersonce you get away from tabasco and its bitter vinegar after-taste you open up a whole new world. there are a lot of superior hot sauces. things have certainly improved since the late 1800s when tabasco was first developed",negative,1,1085,199
mine loved it just tried it on our very old cats who used to eat fancy feast but now have cd diet for medical reasons. this food seems to be the winner so far. they loved it!!!,positive,4,176,37
"heat with a bit of flavor i've been looking for a substitute for standard ramen noodle lunches so i figured i'd try these. they aren't bad, but the red curry noodles didn't seem to have much flavor. they do have a perfect amount of heat for me. i think that the a taste of thai peanut noodles quick meal, 5.25-ounce boxes (pack of 6) were a little better due to the flavor and texture added by the peanuts, but they are both still edible. i think the simply asia noodle bowl, spicy kung pao, 8.5-ounces (pack of 6) noodles are significantly better though.",neutral,3,555,103
"my dog loves them but... my 26 pound puggle loves these, he is an agressive chewer and he prefers these over anything else. the only issue i have is he wears them out in around a week. it is still better than him chewing something else (furniture etc) though!",neutral,3,259,49
"great flavor great black cherry flavor, not too fizzy, no added sugar, but still pretty sweet. not a great thirst quencher but tasty.",positive,4,133,23
"nutiva organic shelled hempseed, 5-pound bag this item was brought up in a forum with a link to amazon. i've dealt with amazon before and i've never been let down, thank you amazon for the great deals and excellant service! anyway, this seed is tasty and nutrient packed. i've since read that hemp seed is some of the best food we can give ourselves.",positive,5,350,64
"spicy & delicious! we do not eat a lot of ramen noodles at our house, but we discovered this one at a local mexican grocery and everyone loves it. the taste is really delicious, probably the best one i've ever had (out of maybe 6 common ones that i've tried in my life.) if you don't like some good heat, you may want to steer clear. i actually add extra water to mine, and it's still delicious and quite spicy. the price here on subscribe and save is off the charts good...12 packages arriving at the door for under $4? of course, this is not a healthy meal, so you have to be careful of the sodium and carbs, if you have high blood sugar, or high blood pressure. for us, it's an occasional treat, not something to eat every day.",positive,5,730,141
great taste! my favorite coffee! it is very dark and has a wonderful flavor without the bitterness! reminds me of the coffees served in germany.,positive,5,144,25
"celestial seasonings india spice chai what i was expecting was a chai tea similar to one i find in popular coffee houses: a spiced tea infused with cream and sugar. this tea smells wonderful but the taste when you are drinking it is very plain to me. also it is missing the cream and sugar elements so it has none of the flavor and body of a coffee house chai. i've also tried three other chais from timothy's, bigelow and gloria jean's and had the same reaction to them all during my side by side taste test. the k-cup chais are simply not the same as the coffee house chais. to approximate the coffee house chai you'll need to add your own cream/milk and sugar/honey and give it a little shake.",negative,1,696,131
"gross but healthy it has a weird taste (and i usually love raw vegan snacks!), but this was just too gross. i guess if you are craving duritos or some other type of unhealthy chips, then get these raw ones instead, because of course it's much healthier than duritos!!",negative,1,267,49
"good oil, arrived damaged, twice! these oils are lighter in flavor than their descritions. but still a good value. my biggest problem was the cans were all damaged, not by shipping but by the individual that packaged them. i ordered 5 of the different flavors, each oil has 3 or 4 cans with the offer. in the first shippment 9 cans were crushed, not dented. the 2nd order had 11 cans damaged. my intent was to give these away as gifts; of course in that condition i was not able to! if you want these oils for personal use by all means order them.",neutral,3,547,104
"not for powerful chewers! i bought two of these for my 16 month black lab and my 3 year old golden retriever. at first they nosed it and tossed it, but within 5 minutes my black lab had ripped the rubber stopper in half and dumped out the kibble! maybe he is smarter than i thought!the toy is completely unusable now and we are sedning it back.i think this would be a great toy for a smaller or less voracious chewer. if your dog is a strong chewer, i would get something else to entertain them.",negative,1,495,96
"i liked it at first... the first box i ever bought was good. the tea, to me, tasted better cold than hot so i would make an ice tea of it and refrigerate it until i wanted it. the last few boxes i bought, however, were awful. i would boil the water and steep it and the tea would make this oily film over the top. it would just float and wasn't tasty to drink. i know sometimes plants have oils in them but this was excessive and killed the flavor. not buying this brand again.",negative,2,477,96
not dop tomatoes are good but they are not dop. buyer beware. amazon is a great company but they need to moniter what is listed better.,negative,1,135,26
"disappointed i don't know if it was a production problem or shipping problem, but half of the box was discolored and cracked. it was clearly old or exposed to some sort of sustained heat. we had heard good things, but this was our first exposure to see's. my wife's excitement quickly turned to disappointment.",negative,1,310,54
poop in the hand i have been using these bags for some time and they have been great until the last few boxes. many (not all) of the bags tear along the side seam when attempting to pick up my dog's poop. unfortunately i have 4 boxes remaining from the last purchased but i am going to start looking for a different brand. beware of this product and carry a backup bag and a hand wipe!,neutral,3,385,76
lean treats are great my dogs love these treats. they have been very helpful in getting our disabled dachshund to start moving around in her wheeled cart. our vet sells them too,positive,5,177,32
incredible gluten free the best gluten free mix available. i really enjoy making everything with this mix. it is less expensive than mixing my own flours to a mixture.,positive,5,167,29
"clean taste first off, i normally don't buy bottled water, so i'm not an expert on the taste of bottled water. i do, however, buy a lot of sports drinks for drinking while cycling and working out. i wasn't sure how to review plain ol' water, but i decided just to compare it with the water i get out of my faucet. the essentia does indeed have a better taste to it. by comparison, my tap water has a slightly bitter taste (i'm guessing from chlorine or other chemicals added to purify it). essentia's water really has no taste, which is actually a good thing. i'm not sure of the benefits its ph balance has for your body. the addition of electrolytes does mean this product can do more for you than plain tap water if you're working out and losing a lot of water through sweat. if you won't miss the sugary taste of a sports drink, this is a good zero-calorie alternative.",positive,5,873,164
"delicious cup of coffee delicious cup of coffee. this is not the best coffee i have tasted but it is very enjoyable and i have not found one that i do not enjoy. quick, easy and enjoyable.",positive,5,188,37
tofu shirataki noodles angel hair these are alright. def. have to rinse them the odor is not pleasant. the texture is strange a little chewy. they are filling and need to be spiced up with something. not sure if i will buy again.,neutral,3,229,43
rip off website said 2.79 per unit this was $18/ per unit- that is a crazy price. it sells for $3 everyewhere so i expected it would be 2.79 per bag her as it stated,negative,1,165,35
